task_id,task_category,task_description,difficulty_score,time_score,workflow_gap_identified,gap_description,recommendation
PR_001,Patient Registration,Register new patient Yuki Fitzgerald with demographics and insurance placeholder,3,4,No,Standard data entry density consistent with EHR registration modules,Streamline required vs optional fields and use progressive disclosure
PR_002,Patient Registration,Update contact information for Raj Murphy after phone number change,2,3,No,Minor hunt for patient lookup before edit,Persistent global patient search with recent-patient shortcuts
PR_003,Patient Registration,Attach guardian proxy for pediatric proxy scenario linked to Fatima Lindstrom teaching case,5,6,No,Non-intuitive relationship mapping in chart,Guided proxy relationship wizard with validation prompts
PR_004,Patient Registration,Verify duplicate record warning when registering Chen O'Connor similar-name test entry,4,5,No,Duplicate detection UI adds decision steps,Improve duplicate merge preview and clinician-facing rationale text
PR_005,Patient Registration,Mark patient deceased flag and end active referrals (synthetic closure workflow),6,7,No,Sparse cues linking registration status to downstream tasks,Cross-module status banner and checklist for dependent workflows
VS_001,Vital Signs Entry,Record vitals for Yuki Fitzgerald during triage-style flow,8,9,Yes,Vitals entry blocked until an encounter is created; extra navigation and task switching,Allow configurable vitals capture pre-encounter or auto-create minimal encounter stub with audit
VS_002,Vital Signs Entry,Amend weight and BMI after unit mismatch for Raj Murphy,5,6,No,Unit toggles and recalculation add cognitive steps,Default sensible units by locale with inline conversion and confirmation
VS_003,Vital Signs Entry,Enter pediatric vitals with age-based ranges for teaching narrative (Fatima Lindstrom scenario),6,7,No,Reference ranges not contextualized to age in single view,Context-aware growth charts and range callouts tied to patient age
DX_001,Diagnosis Documentation using ICD-10,Add primary ICD-10 hypertension code for Chen O'Connor problem list,4,5,No,Search overload across code synonyms,Curated problem-oriented search with frequent primary-care clusters
DX_002,Diagnosis Documentation using ICD-10,Specify laterality and encounter-appropriate Z-code for Raj Murphy follow-up,6,7,No,Fine-grained attributes scattered across screens,Single guided diagnosis panel with attribute chips
DX_003,Diagnosis Documentation using ICD-10,Document acute URI with ICD-10 and link to Fatima Lindstrom visit note template,5,6,No,Weak coupling between note template and coded problem,Smart links from diagnosis pick to note macros and ordersets
DX_004,Diagnosis Documentation using ICD-10,Validate rule-out documentation using ICD-10 rule-out phrasing for Yuki Fitzgerald case,7,8,No,Semantic mismatch between narrative and codable entities,NLP assist for problem list alignment with free text guardrails
RX_001,Medication Prescribing,Initiate new lisinopril prescription with sig and pharmacy for Chen O'Connor,5,6,No,Multi-screen prescribe-verify workflow,Consolidated prescribe drawer with interaction checks surfaced inline
RX_002,Medication Prescribing,Adjust atorvastatin dose after lab review for Yuki Fitzgerald teaching case,4,5,No,Dose strength picker friction on renewal paths,Favorite strengths and last-used dosing memory per medication class
RX_003,Medication Prescribing,Discontinue duplicate therapy alert for Raj Murphy polypharmacy scenario,7,8,No,Alert stacking without prioritization,Tiered alerts with suppressible low-value repeats and single acknowledge path
RX_004,Medication Prescribing,Medication reconciliation across simulated admission for Fatima Lindstrom,8,8,No,Reconciliation table sparse visual grouping,Group by class and highlight net-new changes with diff semantics
MV_001,Multi-visit Encounter Management,Open correct encounter date for Raj Murphy when two same-day edits exist,7,7,No,Ambiguous encounter list for backdated edits,Timeline-centric encounter picker with visual differentiation
MV_002,Multi-visit Encounter Management,Link lab results to today's encounter for Yuki Fitzgerald,5,6,No,Orphaned results in inbox,One-click attach to active encounter from inbox with preview
MV_003,Multi-visit Encounter Management,Close encounter and route unsigned note task for Chen O'Connor,6,7,No,SPLIT responsibilities between signing and billing readiness,Closing checklist summarizing required signatures and charge readiness
MV_004,Multi-visit Encounter Management,Schedule follow-up embedded from Fatima Lindstrom encounter summary,4,5,No,Scheduling module deep link missing from summary,Banner actions for schedule Labs Referrals from encounter footer
RF_001,Referral Management,Create cardiology referral with clinical question for Yuki Fitzgerald,5,6,No,Referral form field repetition,Reuse encounter diagnosis and attachments with selective editing
RF_002,Referral Management,Track referral status loop for Raj Murphy and document receipt,6,7,No,Outbound status visibility limited to message threads,Unified referral tracker with state machine and inbox filters
RF_003,Referral Management,Close loop on imaging referral result for Fatima Lindstrom multi-visit arc,7,7,No,Result ingestion disconnected from referral object,Bind inbound documents to referral ID automatically when possible
RC_001,Record Correction,Remove incorrect ICD-10 diagnosis added to Chen O'Connor problem list,9,9,Yes,Diagnosis cannot be removed once added; users resort to addenda or incorrect layering,Support inactivation Retract pathway with reason codes and audit while preserving legal record integrity
RC_002,Record Correction,Correct wrong medication line after entry error for Raj Murphy,9,9,Yes,Medication line cannot be removed once added; discourages clean correction workflows,Allow discontinuation Reconcile with clear audit reversible display states per policy
